prompt_version,Model,model_key,Samples,Structure Valid,Structure Valid Rate,Request Match,Request Match Rate,Execution Success,Execution Success Rate,Result Valid,Result Valid Rate,Fully Correct,Fully Correct Accuracy,Completed Model Responses,Average Latency Seconds,Median Latency Seconds,Cost Note
pool_typed_schema_v3,Ministral-3-8B,ministral,40,40,1.0,25,0.625,22,0.55,22,0.55,22,0.55,40,1.6208797900049832,1.55430504999822,"Local models do not have a per-request external API price in this experiment. Local hardware, electricity, and energy costs are not measured; latency is reported as the local efficiency metric."
pool_typed_schema_v3,Qwen2.5-Coder-7B-Instruct,qwen,40,8,0.2,7,0.175,7,0.175,7,0.175,7,0.175,40,0.5790857549960492,0.611951799975941,"Local models do not have a per-request external API price in this experiment. Local hardware, electricity, and energy costs are not measured; latency is reported as the local efficiency metric."
pool_typed_schema_v3,Llama-3.1-8B-Instruct,llama,40,16,0.4,1,0.025,1,0.025,1,0.025,1,0.025,40,3.7822485274940845,0.9258647499955259,"Local models do not have a per-request external API price in this experiment. Local hardware, electricity, and energy costs are not measured; latency is reported as the local efficiency metric."
