gap_group,requests,correct,routing_accuracy,routing_accuracy_percent,ground_truth_strong,ground_truth_weak
Gap = 0,10,8,0.8,80.0,0,10
Gap = 2,18,12,0.6666666666666666,66.66666666666667,3,15
Gap >= 3,12,7,0.5833333333333334,58.333333333333336,1,11
