analysis,sample_size,elite_count,semi_elite_count,sample_id,sample_seed,perturbation_run,noise_seed,noise_amplitude,success,error,rmse
Logistic Regression,120,10,110,9,2035,4,92029,0.5,True,,0.17497508539145945
Multiple Linear Regression,120,10,110,9,2035,4,92029,0.5,True,,0.023202762599557527
Correlation Analysis,120,10,110,9,2035,4,92029,0.5,True,,0.030226858484919253
Variance Analysis,120,10,110,9,2035,4,92029,0.5,True,,0.1422321255415004
Logistic Regression,120,10,110,9,2035,5,92030,0.5,True,,0.09484340793013836
Multiple Linear Regression,120,10,110,9,2035,5,92030,0.5,True,,0.016755799210922847
Correlation Analysis,120,10,110,9,2035,5,92030,0.5,True,,0.03143033477279077
Variance Analysis,120,10,110,9,2035,5,92030,0.5,True,,0.1990496662455616
Logistic Regression,120,10,110,9,2035,6,92031,0.5,True,,0.15734886526827407
Multiple Linear Regression,120,10,110,9,2035,6,92031,0.5,True,,0.023799664054397547
Correlation Analysis,120,10,110,9,2035,6,92031,0.5,True,,0.03755770203258658
Variance Analysis,120,10,110,9,2035,6,92031,0.5,True,,0.1695259339044288
Logistic Regression,120,10,110,9,2035,7,92032,0.5,True,,0.18705880554449494
Multiple Linear Regression,120,10,110,9,2035,7,92032,0.5,True,,0.027669231973822345
Correlation Analysis,120,10,110,9,2035,7,92032,0.5,True,,0.03653311791947409
Variance Analysis,120,10,110,9,2035,7,92032,0.5,True,,0.1500793201868723
Logistic Regression,120,10,110,9,2035,8,92033,0.5,True,,0.09382953619142129
Multiple Linear Regression,120,10,110,9,2035,8,92033,0.5,True,,0.020189237006480606
Correlation Analysis,120,10,110,9,2035,8,92033,0.5,True,,0.033763566354622784
Variance Analysis,120,10,110,9,2035,8,92033,0.5,True,,0.09438450722810376
Logistic Regression,120,10,110,9,2035,9,92034,0.5,True,,0.25873348042748445
Multiple Linear Regression,120,10,110,9,2035,9,92034,0.5,True,,0.014532209318952903
Correlation Analysis,120,10,110,9,2035,9,92034,0.5,True,,0.03892383405875724
Variance Analysis,120,10,110,9,2035,9,92034,0.5,True,,0.193118452133794
Logistic Regression,120,10,110,9,2035,10,92035,0.5,True,,0.1449286149645749
Multiple Linear Regression,120,10,110,9,2035,10,92035,0.5,True,,0.02495512117595737
Correlation Analysis,120,10,110,9,2035,10,92035,0.5,True,,0.033477404908758446
Variance Analysis,120,10,110,9,2035,10,92035,0.5,True,,0.15730586976283858
Logistic Regression,120,10,110,10,2036,1,102026,0.5,True,,0.19208238499347594
Multiple Linear Regression,120,10,110,10,2036,1,102026,0.5,True,,0.02159527628560602
Correlation Analysis,120,10,110,10,2036,1,102026,0.5,True,,0.03510210831672626
Variance Analysis,120,10,110,10,2036,1,102026,0.5,True,,0.21618535325418606
Logistic Regression,120,10,110,10,2036,2,102027,0.5,True,,0.09072346857616183
Multiple Linear Regression,120,10,110,10,2036,2,102027,0.5,True,,0.012921735251159165
Correlation Analysis,120,10,110,10,2036,2,102027,0.5,True,,0.038944215745937746
Variance Analysis,120,10,110,10,2036,2,102027,0.5,True,,0.18044007302951562
Logistic Regression,120,10,110,10,2036,3,102028,0.5,True,,0.12638668250225504
Multiple Linear Regression,120,10,110,10,2036,3,102028,0.5,True,,0.023453241328731587
Correlation Analysis,120,10,110,10,2036,3,102028,0.5,True,,0.03111390695893804
Variance Analysis,120,10,110,10,2036,3,102028,0.5,True,,0.2083222481972654
Logistic Regression,120,10,110,10,2036,4,102029,0.5,True,,0.17601608041107483
Multiple Linear Regression,120,10,110,10,2036,4,102029,0.5,True,,0.025390069448015477
Correlation Analysis,120,10,110,10,2036,4,102029,0.5,True,,0.03191927085870119
Variance Analysis,120,10,110,10,2036,4,102029,0.5,True,,0.1885341019275199
Logistic Regression,120,10,110,10,2036,5,102030,0.5,True,,0.2574684771604517
Multiple Linear Regression,120,10,110,10,2036,5,102030,0.5,True,,0.018918256325961655
Correlation Analysis,120,10,110,10,2036,5,102030,0.5,True,,0.031032275021615444
Variance Analysis,120,10,110,10,2036,5,102030,0.5,True,,0.22593913752166614
Logistic Regression,120,10,110,10,2036,6,102031,0.5,True,,0.10093006039537636
Multiple Linear Regression,120,10,110,10,2036,6,102031,0.5,True,,0.020723490123993757
Correlation Analysis,120,10,110,10,2036,6,102031,0.5,True,,0.03698767563169732
Variance Analysis,120,10,110,10,2036,6,102031,0.5,True,,0.18133819017249914
Logistic Regression,120,10,110,10,2036,7,102032,0.5,True,,0.16061171126274565
Multiple Linear Regression,120,10,110,10,2036,7,102032,0.5,True,,0.018283311357056093
Correlation Analysis,120,10,110,10,2036,7,102032,0.5,True,,0.035669494995662854
Variance Analysis,120,10,110,10,2036,7,102032,0.5,True,,0.18318703162067337
Logistic Regression,120,10,110,10,2036,8,102033,0.5,True,,0.1099613497179766
Multiple Linear Regression,120,10,110,10,2036,8,102033,0.5,True,,0.010639024525642322
Correlation Analysis,120,10,110,10,2036,8,102033,0.5,True,,0.03345175217967429
Variance Analysis,120,10,110,10,2036,8,102033,0.5,True,,0.13392849554450378
Logistic Regression,120,10,110,10,2036,9,102034,0.5,True,,0.17656391707004138
Multiple Linear Regression,120,10,110,10,2036,9,102034,0.5,True,,0.025381837417832342
Correlation Analysis,120,10,110,10,2036,9,102034,0.5,True,,0.03083683221113489
Variance Analysis,120,10,110,10,2036,9,102034,0.5,True,,0.1959330180869628
Logistic Regression,120,10,110,10,2036,10,102035,0.5,True,,0.17645470415121625
Multiple Linear Regression,120,10,110,10,2036,10,102035,0.5,True,,0.0196791416601065
Correlation Analysis,120,10,110,10,2036,10,102035,0.5,True,,0.030624434800322668
Variance Analysis,120,10,110,10,2036,10,102035,0.5,True,,0.1924357995519851
Logistic Regression,180,15,165,1,2027,1,12026,0.5,True,,0.158162493113053
Multiple Linear Regression,180,15,165,1,2027,1,12026,0.5,True,,0.01946012949491673
Correlation Analysis,180,15,165,1,2027,1,12026,0.5,True,,0.02633781520798005
Variance Analysis,180,15,165,1,2027,1,12026,0.5,True,,0.14006330747794593
Logistic Regression,180,15,165,1,2027,2,12027,0.5,True,,0.11074940896250905
Multiple Linear Regression,180,15,165,1,2027,2,12027,0.5,True,,0.014549975102013212
Correlation Analysis,180,15,165,1,2027,2,12027,0.5,True,,0.03593879444971223
Variance Analysis,180,15,165,1,2027,2,12027,0.5,True,,0.10467515388985502
Logistic Regression,180,15,165,1,2027,3,12028,0.5,True,,0.24892731900590548
Multiple Linear Regression,180,15,165,1,2027,3,12028,0.5,True,,0.0281676933552011
Correlation Analysis,180,15,165,1,2027,3,12028,0.5,True,,0.026621280542296198
Variance Analysis,180,15,165,1,2027,3,12028,0.5,True,,0.1659736233049065
Logistic Regression,180,15,165,1,2027,4,12029,0.5,True,,0.07204723243172688
Multiple Linear Regression,180,15,165,1,2027,4,12029,0.5,True,,0.013849819538307037
Correlation Analysis,180,15,165,1,2027,4,12029,0.5,True,,0.030222885350691644
Variance Analysis,180,15,165,1,2027,4,12029,0.5,True,,0.18372308514792435
Logistic Regression,180,15,165,1,2027,5,12030,0.5,True,,0.14805001229490045
Multiple Linear Regression,180,15,165,1,2027,5,12030,0.5,True,,0.02242918932379718
Correlation Analysis,180,15,165,1,2027,5,12030,0.5,True,,0.024051647584992536
Variance Analysis,180,15,165,1,2027,5,12030,0.5,True,,0.12568809190661648
Logistic Regression,180,15,165,1,2027,6,12031,0.5,True,,0.06217193101054103
Multiple Linear Regression,180,15,165,1,2027,6,12031,0.5,True,,0.024335406464983042
Correlation Analysis,180,15,165,1,2027,6,12031,0.5,True,,0.031066172850004153
Variance Analysis,180,15,165,1,2027,6,12031,0.5,True,,0.11266570860239199
Logistic Regression,180,15,165,1,2027,7,12032,0.5,True,,0.07836383842886181
Multiple Linear Regression,180,15,165,1,2027,7,12032,0.5,True,,0.017930736656158245
Correlation Analysis,180,15,165,1,2027,7,12032,0.5,True,,0.02516294166416134
Variance Analysis,180,15,165,1,2027,7,12032,0.5,True,,0.13712856610420915
Logistic Regression,180,15,165,1,2027,8,12033,0.5,True,,0.19014701317287563
Multiple Linear Regression,180,15,165,1,2027,8,12033,0.5,True,,0.013994993412501742
Correlation Analysis,180,15,165,1,2027,8,12033,0.5,True,,0.025087197008990855
Variance Analysis,180,15,165,1,2027,8,12033,0.5,True,,0.08806557921596123
Logistic Regression,180,15,165,1,2027,9,12034,0.5,True,,0.08722364537222049
Multiple Linear Regression,180,15,165,1,2027,9,12034,0.5,True,,0.028173848417543314
Correlation Analysis,180,15,165,1,2027,9,12034,0.5,True,,0.032399118794680826
Variance Analysis,180,15,165,1,2027,9,12034,0.5,True,,0.14137680133841166
Logistic Regression,180,15,165,1,2027,10,12035,0.5,True,,0.07394511027233208
Multiple Linear Regression,180,15,165,1,2027,10,12035,0.5,True,,0.016855929429438955
Correlation Analysis,180,15,165,1,2027,10,12035,0.5,True,,0.033087854962301724
Variance Analysis,180,15,165,1,2027,10,12035,0.5,True,,0.19408952647697283
Logistic Regression,180,15,165,2,2028,1,22026,0.5,True,,0.12373225708676912
Multiple Linear Regression,180,15,165,2,2028,1,22026,0.5,True,,0.023578815746823235
Correlation Analysis,180,15,165,2,2028,1,22026,0.5,True,,0.03399599815105066
Variance Analysis,180,15,165,2,2028,1,22026,0.5,True,,0.11006798416061857
Logistic Regression,180,15,165,2,2028,2,22027,0.5,True,,0.14687756296367932
Multiple Linear Regression,180,15,165,2,2028,2,22027,0.5,True,,0.02299887942619002
Correlation Analysis,180,15,165,2,2028,2,22027,0.5,True,,0.027337196070763754
Variance Analysis,180,15,165,2,2028,2,22027,0.5,True,,0.178065599639731
Logistic Regression,180,15,165,2,2028,3,22028,0.5,True,,0.09822179582222225
Multiple Linear Regression,180,15,165,2,2028,3,22028,0.5,True,,0.018478282425435016
Correlation Analysis,180,15,165,2,2028,3,22028,0.5,True,,0.023990703496436182
Variance Analysis,180,15,165,2,2028,3,22028,0.5,True,,0.10665665096431093
Logistic Regression,180,15,165,2,2028,4,22029,0.5,True,,0.10005536397933648
Multiple Linear Regression,180,15,165,2,2028,4,22029,0.5,True,,0.008197716834589764
Correlation Analysis,180,15,165,2,2028,4,22029,0.5,True,,0.03255761062231856
Variance Analysis,180,15,165,2,2028,4,22029,0.5,True,,0.11514371447306956
Logistic Regression,180,15,165,2,2028,5,22030,0.5,True,,0.13514905220628837
Multiple Linear Regression,180,15,165,2,2028,5,22030,0.5,True,,0.015832617187151753
Correlation Analysis,180,15,165,2,2028,5,22030,0.5,True,,0.028178709730915272
Variance Analysis,180,15,165,2,2028,5,22030,0.5,True,,0.14047513989700888
Logistic Regression,180,15,165,2,2028,6,22031,0.5,True,,0.13394327565078978
Multiple Linear Regression,180,15,165,2,2028,6,22031,0.5,True,,0.01986736331940604
Correlation Analysis,180,15,165,2,2028,6,22031,0.5,True,,0.03234767539578993
Variance Analysis,180,15,165,2,2028,6,22031,0.5,True,,0.20189737794129659
Logistic Regression,180,15,165,2,2028,7,22032,0.5,True,,0.08666833062124267
Multiple Linear Regression,180,15,165,2,2028,7,22032,0.5,True,,0.016050658429032336
Correlation Analysis,180,15,165,2,2028,7,22032,0.5,True,,0.03041127069553262
Variance Analysis,180,15,165,2,2028,7,22032,0.5,True,,0.13463792252283854
Logistic Regression,180,15,165,2,2028,8,22033,0.5,True,,0.11164513845028864
Multiple Linear Regression,180,15,165,2,2028,8,22033,0.5,True,,0.01648103187793144
Correlation Analysis,180,15,165,2,2028,8,22033,0.5,True,,0.028649623290705396
Variance Analysis,180,15,165,2,2028,8,22033,0.5,True,,0.1035072735010334
Logistic Regression,180,15,165,2,2028,9,22034,0.5,True,,0.0644673586934905
Multiple Linear Regression,180,15,165,2,2028,9,22034,0.5,True,,0.009733557297396885
Correlation Analysis,180,15,165,2,2028,9,22034,0.5,True,,0.026271858123992457
Variance Analysis,180,15,165,2,2028,9,22034,0.5,True,,0.13662310363189434
Logistic Regression,180,15,165,2,2028,10,22035,0.5,True,,0.08884842616859082
Multiple Linear Regression,180,15,165,2,2028,10,22035,0.5,True,,0.015014773325705343
Correlation Analysis,180,15,165,2,2028,10,22035,0.5,True,,0.03853002628186504
Variance Analysis,180,15,165,2,2028,10,22035,0.5,True,,0.14905969789986276
Logistic Regression,180,15,165,3,2029,1,32026,0.5,True,,0.1134331452995762
Multiple Linear Regression,180,15,165,3,2029,1,32026,0.5,True,,0.016659864702788376
Correlation Analysis,180,15,165,3,2029,1,32026,0.5,True,,0.027108057533028154
Variance Analysis,180,15,165,3,2029,1,32026,0.5,True,,0.15996765506173938
Logistic Regression,180,15,165,3,2029,2,32027,0.5,True,,0.09998451327786946
Multiple Linear Regression,180,15,165,3,2029,2,32027,0.5,True,,0.02046683927500457
Correlation Analysis,180,15,165,3,2029,2,32027,0.5,True,,0.028797620704961203
Variance Analysis,180,15,165,3,2029,2,32027,0.5,True,,0.1068839944527717
Logistic Regression,180,15,165,3,2029,3,32028,0.5,True,,0.11185084813698488
Multiple Linear Regression,180,15,165,3,2029,3,32028,0.5,True,,0.015804391925147997
Correlation Analysis,180,15,165,3,2029,3,32028,0.5,True,,0.02802038269727815
Variance Analysis,180,15,165,3,2029,3,32028,0.5,True,,0.15577090714801736
Logistic Regression,180,15,165,3,2029,4,32029,0.5,True,,0.04725619754508661
Multiple Linear Regression,180,15,165,3,2029,4,32029,0.5,True,,0.007890575112164585
Correlation Analysis,180,15,165,3,2029,4,32029,0.5,True,,0.02930294548516501
Variance Analysis,180,15,165,3,2029,4,32029,0.5,True,,0.1176055904450583
Logistic Regression,180,15,165,3,2029,5,32030,0.5,True,,0.12875566010293035
Multiple Linear Regression,180,15,165,3,2029,5,32030,0.5,True,,0.020175059983506157
Correlation Analysis,180,15,165,3,2029,5,32030,0.5,True,,0.033277295827486224
Variance Analysis,180,15,165,3,2029,5,32030,0.5,True,,0.11693752088957277
Logistic Regression,180,15,165,3,2029,6,32031,0.5,True,,0.055532326228417146
Multiple Linear Regression,180,15,165,3,2029,6,32031,0.5,True,,0.010169826469047414
Correlation Analysis,180,15,165,3,2029,6,32031,0.5,True,,0.02954371530841421
Variance Analysis,180,15,165,3,2029,6,32031,0.5,True,,0.15348318217436635
Logistic Regression,180,15,165,3,2029,7,32032,0.5,True,,0.13080302428720741
Multiple Linear Regression,180,15,165,3,2029,7,32032,0.5,True,,0.021223357473892875
Correlation Analysis,180,15,165,3,2029,7,32032,0.5,True,,0.026016948137478797
Variance Analysis,180,15,165,3,2029,7,32032,0.5,True,,0.09639631208391806
Logistic Regression,180,15,165,3,2029,8,32033,0.5,True,,0.09726862107108761
Multiple Linear Regression,180,15,165,3,2029,8,32033,0.5,True,,0.019138180155495236
Correlation Analysis,180,15,165,3,2029,8,32033,0.5,True,,0.025874962924737687
Variance Analysis,180,15,165,3,2029,8,32033,0.5,True,,0.1697749532535381
Logistic Regression,180,15,165,3,2029,9,32034,0.5,True,,0.08656416416335477
Multiple Linear Regression,180,15,165,3,2029,9,32034,0.5,True,,0.015946740361104977
Correlation Analysis,180,15,165,3,2029,9,32034,0.5,True,,0.027060607620193074
Variance Analysis,180,15,165,3,2029,9,32034,0.5,True,,0.14714636268993858
Logistic Regression,180,15,165,3,2029,10,32035,0.5,True,,0.10426177816895572
Multiple Linear Regression,180,15,165,3,2029,10,32035,0.5,True,,0.021365907976529458
Correlation Analysis,180,15,165,3,2029,10,32035,0.5,True,,0.034060896673219376
Variance Analysis,180,15,165,3,2029,10,32035,0.5,True,,0.12876203290446187
Logistic Regression,180,15,165,4,2030,1,42026,0.5,True,,0.09386030019457224
Multiple Linear Regression,180,15,165,4,2030,1,42026,0.5,True,,0.013650611347941549
Correlation Analysis,180,15,165,4,2030,1,42026,0.5,True,,0.030346445760103043
Variance Analysis,180,15,165,4,2030,1,42026,0.5,True,,0.12047850186690187
Logistic Regression,180,15,165,4,2030,2,42027,0.5,True,,0.08175851026136914
Multiple Linear Regression,180,15,165,4,2030,2,42027,0.5,True,,0.02304325612885624
Correlation Analysis,180,15,165,4,2030,2,42027,0.5,True,,0.030759112477163283
Variance Analysis,180,15,165,4,2030,2,42027,0.5,True,,0.126358550896545
Logistic Regression,180,15,165,4,2030,3,42028,0.5,True,,0.13942081604167186
Multiple Linear Regression,180,15,165,4,2030,3,42028,0.5,True,,0.020067951059877995
Correlation Analysis,180,15,165,4,2030,3,42028,0.5,True,,0.03374786549216671
Variance Analysis,180,15,165,4,2030,3,42028,0.5,True,,0.11474511827191812
Logistic Regression,180,15,165,4,2030,4,42029,0.5,True,,0.11738891648190682
Multiple Linear Regression,180,15,165,4,2030,4,42029,0.5,True,,0.013445184997220078
Correlation Analysis,180,15,165,4,2030,4,42029,0.5,True,,0.029636449916844828
Variance Analysis,180,15,165,4,2030,4,42029,0.5,True,,0.08681613459316782
Logistic Regression,180,15,165,4,2030,5,42030,0.5,True,,0.08110171070535209
Multiple Linear Regression,180,15,165,4,2030,5,42030,0.5,True,,0.013686788114473386
Correlation Analysis,180,15,165,4,2030,5,42030,0.5,True,,0.02783474847891526
Variance Analysis,180,15,165,4,2030,5,42030,0.5,True,,0.08649900472738568
Logistic Regression,180,15,165,4,2030,6,42031,0.5,True,,0.10317332586796228
Multiple Linear Regression,180,15,165,4,2030,6,42031,0.5,True,,0.021699278789263376
Correlation Analysis,180,15,165,4,2030,6,42031,0.5,True,,0.027749100227144125
Variance Analysis,180,15,165,4,2030,6,42031,0.5,True,,0.1227646628633121
Logistic Regression,180,15,165,4,2030,7,42032,0.5,True,,0.10166100872744241
Multiple Linear Regression,180,15,165,4,2030,7,42032,0.5,True,,0.018604583102277302
Correlation Analysis,180,15,165,4,2030,7,42032,0.5,True,,0.02831427077036026
Variance Analysis,180,15,165,4,2030,7,42032,0.5,True,,0.2565587329436416
Logistic Regression,180,15,165,4,2030,8,42033,0.5,True,,0.07569978402337715
Multiple Linear Regression,180,15,165,4,2030,8,42033,0.5,True,,0.018887542267601084
Correlation Analysis,180,15,165,4,2030,8,42033,0.5,True,,0.02762174838985294
Variance Analysis,180,15,165,4,2030,8,42033,0.5,True,,0.1580146665214945
Logistic Regression,180,15,165,4,2030,9,42034,0.5,True,,0.08500578224833574
Multiple Linear Regression,180,15,165,4,2030,9,42034,0.5,True,,0.00999983987546532
Correlation Analysis,180,15,165,4,2030,9,42034,0.5,True,,0.031060107360063552
Variance Analysis,180,15,165,4,2030,9,42034,0.5,True,,0.08897071515912348
Logistic Regression,180,15,165,4,2030,10,42035,0.5,True,,0.09382731179595395
Multiple Linear Regression,180,15,165,4,2030,10,42035,0.5,True,,0.014502033626335342
Correlation Analysis,180,15,165,4,2030,10,42035,0.5,True,,0.031004803990100433
Variance Analysis,180,15,165,4,2030,10,42035,0.5,True,,0.111231294904213
Logistic Regression,180,15,165,5,2031,1,52026,0.5,True,,0.09561662431996765
Multiple Linear Regression,180,15,165,5,2031,1,52026,0.5,True,,0.008123817620073222
Correlation Analysis,180,15,165,5,2031,1,52026,0.5,True,,0.0192865386088592
Variance Analysis,180,15,165,5,2031,1,52026,0.5,True,,0.08761327099920117
Logistic Regression,180,15,165,5,2031,2,52027,0.5,True,,0.1403885711472662
Multiple Linear Regression,180,15,165,5,2031,2,52027,0.5,True,,0.022675398200080715
Correlation Analysis,180,15,165,5,2031,2,52027,0.5,True,,0.022779587841456426
Variance Analysis,180,15,165,5,2031,2,52027,0.5,True,,0.136123366995353
Logistic Regression,180,15,165,5,2031,3,52028,0.5,True,,0.1267313296074012
Multiple Linear Regression,180,15,165,5,2031,3,52028,0.5,True,,0.016084504073446595
Correlation Analysis,180,15,165,5,2031,3,52028,0.5,True,,0.03586534537860798
Variance Analysis,180,15,165,5,2031,3,52028,0.5,True,,0.14138476682013054
Logistic Regression,180,15,165,5,2031,4,52029,0.5,True,,0.13497384739513887
Multiple Linear Regression,180,15,165,5,2031,4,52029,0.5,True,,0.015319650669582267
Correlation Analysis,180,15,165,5,2031,4,52029,0.5,True,,0.036407986279517565
Variance Analysis,180,15,165,5,2031,4,52029,0.5,True,,0.16376171841131415
Logistic Regression,180,15,165,5,2031,5,52030,0.5,True,,0.1023552148102142
Multiple Linear Regression,180,15,165,5,2031,5,52030,0.5,True,,0.020024840346295397
Correlation Analysis,180,15,165,5,2031,5,52030,0.5,True,,0.027918957730185625
Variance Analysis,180,15,165,5,2031,5,52030,0.5,True,,0.1419261595714723
Logistic Regression,180,15,165,5,2031,6,52031,0.5,True,,0.09086935309990661
Multiple Linear Regression,180,15,165,5,2031,6,52031,0.5,True,,0.02864236986409959
Correlation Analysis,180,15,165,5,2031,6,52031,0.5,True,,0.03346691422447064
Variance Analysis,180,15,165,5,2031,6,52031,0.5,True,,0.12472091222178014
Logistic Regression,180,15,165,5,2031,7,52032,0.5,True,,0.1358668309953309
Multiple Linear Regression,180,15,165,5,2031,7,52032,0.5,True,,0.021645110431107575
Correlation Analysis,180,15,165,5,2031,7,52032,0.5,True,,0.025778894250141203
Variance Analysis,180,15,165,5,2031,7,52032,0.5,True,,0.11895125093752736
Logistic Regression,180,15,165,5,2031,8,52033,0.5,True,,0.1166171705160502
Multiple Linear Regression,180,15,165,5,2031,8,52033,0.5,True,,0.02600246550257962
Correlation Analysis,180,15,165,5,2031,8,52033,0.5,True,,0.03125227442813209
Variance Analysis,180,15,165,5,2031,8,52033,0.5,True,,0.11970455803978808
Logistic Regression,180,15,165,5,2031,9,52034,0.5,True,,0.09864557972957883
Multiple Linear Regression,180,15,165,5,2031,9,52034,0.5,True,,0.013534682508581322
Correlation Analysis,180,15,165,5,2031,9,52034,0.5,True,,0.024781000944861603
Variance Analysis,180,15,165,5,2031,9,52034,0.5,True,,0.09924818738795677
Logistic Regression,180,15,165,5,2031,10,52035,0.5,True,,0.08190368393868139
Multiple Linear Regression,180,15,165,5,2031,10,52035,0.5,True,,0.018005670792813868
Correlation Analysis,180,15,165,5,2031,10,52035,0.5,True,,0.03443458336851748
Variance Analysis,180,15,165,5,2031,10,52035,0.5,True,,0.1484219474609181
Logistic Regression,180,15,165,6,2032,1,62026,0.5,True,,0.10388848654481786
Multiple Linear Regression,180,15,165,6,2032,1,62026,0.5,True,,0.006281199710598092
Correlation Analysis,180,15,165,6,2032,1,62026,0.5,True,,0.03092787324225829
Variance Analysis,180,15,165,6,2032,1,62026,0.5,True,,0.09425544397937972
Logistic Regression,180,15,165,6,2032,2,62027,0.5,True,,0.10953014896842375
Multiple Linear Regression,180,15,165,6,2032,2,62027,0.5,True,,0.022242961572409008
Correlation Analysis,180,15,165,6,2032,2,62027,0.5,True,,0.034526627265422126
Variance Analysis,180,15,165,6,2032,2,62027,0.5,True,,0.14180102351842927
Logistic Regression,180,15,165,6,2032,3,62028,0.5,True,,0.06544352354609184
Multiple Linear Regression,180,15,165,6,2032,3,62028,0.5,True,,0.016463385757876415
Correlation Analysis,180,15,165,6,2032,3,62028,0.5,True,,0.022645881963905604
Variance Analysis,180,15,165,6,2032,3,62028,0.5,True,,0.15439839151375703
Logistic Regression,180,15,165,6,2032,4,62029,0.5,True,,0.12767273378156313
Multiple Linear Regression,180,15,165,6,2032,4,62029,0.5,True,,0.021693317194007106
Correlation Analysis,180,15,165,6,2032,4,62029,0.5,True,,0.026663173104592264
Variance Analysis,180,15,165,6,2032,4,62029,0.5,True,,0.13756036639145922
Logistic Regression,180,15,165,6,2032,5,62030,0.5,True,,0.1222583360574652
Multiple Linear Regression,180,15,165,6,2032,5,62030,0.5,True,,0.012992905878658338
Correlation Analysis,180,15,165,6,2032,5,62030,0.5,True,,0.031647406349312304
Variance Analysis,180,15,165,6,2032,5,62030,0.5,True,,0.13889346694881388
Logistic Regression,180,15,165,6,2032,6,62031,0.5,True,,0.06195846539414861
Multiple Linear Regression,180,15,165,6,2032,6,62031,0.5,True,,0.010031833442493015
Correlation Analysis,180,15,165,6,2032,6,62031,0.5,True,,0.0411953771861603
Variance Analysis,180,15,165,6,2032,6,62031,0.5,True,,0.13338261854012579
Logistic Regression,180,15,165,6,2032,7,62032,0.5,True,,0.15712958621524548
Multiple Linear Regression,180,15,165,6,2032,7,62032,0.5,True,,0.02224884512663561
Correlation Analysis,180,15,165,6,2032,7,62032,0.5,True,,0.029703027828295425
Variance Analysis,180,15,165,6,2032,7,62032,0.5,True,,0.11594980196608526
Logistic Regression,180,15,165,6,2032,8,62033,0.5,True,,0.11627651384070083
Multiple Linear Regression,180,15,165,6,2032,8,62033,0.5,True,,0.021162743956212714
Correlation Analysis,180,15,165,6,2032,8,62033,0.5,True,,0.03121052187431766
Variance Analysis,180,15,165,6,2032,8,62033,0.5,True,,0.15366079236699018
Logistic Regression,180,15,165,6,2032,9,62034,0.5,True,,0.08130753760798537
Multiple Linear Regression,180,15,165,6,2032,9,62034,0.5,True,,0.01806222941064748
Correlation Analysis,180,15,165,6,2032,9,62034,0.5,True,,0.03514481177469258
Variance Analysis,180,15,165,6,2032,9,62034,0.5,True,,0.12573919644846665
Logistic Regression,180,15,165,6,2032,10,62035,0.5,True,,0.05876168312718144
Multiple Linear Regression,180,15,165,6,2032,10,62035,0.5,True,,0.01476409608098415
Correlation Analysis,180,15,165,6,2032,10,62035,0.5,True,,0.02606864735435135
Variance Analysis,180,15,165,6,2032,10,62035,0.5,True,,0.15184556296687
Logistic Regression,180,15,165,7,2033,1,72026,0.5,True,,0.1025276902843272
Multiple Linear Regression,180,15,165,7,2033,1,72026,0.5,True,,0.019337574004274438
Correlation Analysis,180,15,165,7,2033,1,72026,0.5,True,,0.03453174787556298
Variance Analysis,180,15,165,7,2033,1,72026,0.5,True,,0.11569093862665102
Logistic Regression,180,15,165,7,2033,2,72027,0.5,True,,0.14847847967650007
Multiple Linear Regression,180,15,165,7,2033,2,72027,0.5,True,,0.02330628692477586
Correlation Analysis,180,15,165,7,2033,2,72027,0.5,True,,0.022831748264548077
Variance Analysis,180,15,165,7,2033,2,72027,0.5,True,,0.1058603942109368
Logistic Regression,180,15,165,7,2033,3,72028,0.5,True,,0.0996373669295613
Multiple Linear Regression,180,15,165,7,2033,3,72028,0.5,True,,0.02008628034365382
Correlation Analysis,180,15,165,7,2033,3,72028,0.5,True,,0.03249396392497215
Variance Analysis,180,15,165,7,2033,3,72028,0.5,True,,0.143528919012078
Logistic Regression,180,15,165,7,2033,4,72029,0.5,True,,0.08443540761615954
Multiple Linear Regression,180,15,165,7,2033,4,72029,0.5,True,,0.027170946945862657
Correlation Analysis,180,15,165,7,2033,4,72029,0.5,True,,0.030988587793280144
Variance Analysis,180,15,165,7,2033,4,72029,0.5,True,,0.15244073514599402
Logistic Regression,180,15,165,7,2033,5,72030,0.5,True,,0.1122587913396737
Multiple Linear Regression,180,15,165,7,2033,5,72030,0.5,True,,0.021443435296013395
Correlation Analysis,180,15,165,7,2033,5,72030,0.5,True,,0.033025752131453735
Variance Analysis,180,15,165,7,2033,5,72030,0.5,True,,0.14838841729324842
Logistic Regression,180,15,165,7,2033,6,72031,0.5,True,,0.11217398690341304
Multiple Linear Regression,180,15,165,7,2033,6,72031,0.5,True,,0.012682643315930999
Correlation Analysis,180,15,165,7,2033,6,72031,0.5,True,,0.03322398036205997
Variance Analysis,180,15,165,7,2033,6,72031,0.5,True,,0.10752787739492342
Logistic Regression,180,15,165,7,2033,7,72032,0.5,True,,0.16816466644717112
Multiple Linear Regression,180,15,165,7,2033,7,72032,0.5,True,,0.02099892838431628
Correlation Analysis,180,15,165,7,2033,7,72032,0.5,True,,0.03321920389650706
Variance Analysis,180,15,165,7,2033,7,72032,0.5,True,,0.14437278966045602
Logistic Regression,180,15,165,7,2033,8,72033,0.5,True,,0.09065765879322157
Multiple Linear Regression,180,15,165,7,2033,8,72033,0.5,True,,0.017440129510802125
Correlation Analysis,180,15,165,7,2033,8,72033,0.5,True,,0.039666389773254436
Variance Analysis,180,15,165,7,2033,8,72033,0.5,True,,0.10853919377517057
