analysis,sample_size,elite_count,semi_elite_count,sample_id,sample_seed,perturbation_run,noise_seed,noise_amplitude,success,error,rmse
Logistic Regression,120,10,110,2,2028,10,22035,0.5,True,,0.1203993559392726
Multiple Linear Regression,120,10,110,2,2028,10,22035,0.5,True,,0.02693008124557682
Correlation Analysis,120,10,110,2,2028,10,22035,0.5,True,,0.0431866960644822
Variance Analysis,120,10,110,2,2028,10,22035,0.5,True,,0.17659193078048038
Logistic Regression,120,10,110,3,2029,1,32026,0.5,True,,0.14876239931531648
Multiple Linear Regression,120,10,110,3,2029,1,32026,0.5,True,,0.023650491396524954
Correlation Analysis,120,10,110,3,2029,1,32026,0.5,True,,0.03164290205462097
Variance Analysis,120,10,110,3,2029,1,32026,0.5,True,,0.10068094556374688
Logistic Regression,120,10,110,3,2029,2,32027,0.5,True,,0.17825724968257814
Multiple Linear Regression,120,10,110,3,2029,2,32027,0.5,True,,0.014082190406796861
Correlation Analysis,120,10,110,3,2029,2,32027,0.5,True,,0.033061915433832606
Variance Analysis,120,10,110,3,2029,2,32027,0.5,True,,0.19552245005808186
Logistic Regression,120,10,110,3,2029,3,32028,0.5,True,,0.15449155548415563
Multiple Linear Regression,120,10,110,3,2029,3,32028,0.5,True,,0.023025111662230736
Correlation Analysis,120,10,110,3,2029,3,32028,0.5,True,,0.04513131199176094
Variance Analysis,120,10,110,3,2029,3,32028,0.5,True,,0.0846914968181927
Logistic Regression,120,10,110,3,2029,4,32029,0.5,True,,0.14934652240715585
Multiple Linear Regression,120,10,110,3,2029,4,32029,0.5,True,,0.022822198063674776
Correlation Analysis,120,10,110,3,2029,4,32029,0.5,True,,0.040940798397071126
Variance Analysis,120,10,110,3,2029,4,32029,0.5,True,,0.14986361082307711
Logistic Regression,120,10,110,3,2029,5,32030,0.5,True,,0.11500625018229581
Multiple Linear Regression,120,10,110,3,2029,5,32030,0.5,True,,0.025641348943005755
Correlation Analysis,120,10,110,3,2029,5,32030,0.5,True,,0.03227898333813276
Variance Analysis,120,10,110,3,2029,5,32030,0.5,True,,0.17927192939172384
Logistic Regression,120,10,110,3,2029,6,32031,0.5,True,,0.26844713905336626
Multiple Linear Regression,120,10,110,3,2029,6,32031,0.5,True,,0.039963525376343
Correlation Analysis,120,10,110,3,2029,6,32031,0.5,True,,0.04043464490584153
Variance Analysis,120,10,110,3,2029,6,32031,0.5,True,,0.15269779764455443
Logistic Regression,120,10,110,3,2029,7,32032,0.5,True,,0.14952195154165
Multiple Linear Regression,120,10,110,3,2029,7,32032,0.5,True,,0.01897274521890637
