analysis,noise_amplitude,perturbation_run,random_seed,success,error,rmse,relative_error,structure_score,sign_agreement,significance_agreement,top3_overlap,rank_score,edge_jaccard,group_order_agreement,highest_domain_retention,category_agreement,top2_overlap,bottom2_overlap,r_squared_change,regression_sign_agreement,regression_top3_overlap,variance_rank_agreement,regression_rank_agreement
Variance Analysis,0.1,5,2030,True,,0.018393668195096118,0.017351632959160545,0.9543650793650794,nan,nan,nan,0.9880952380952381,nan,0.875,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,6,2031,True,,0.012529422953718372,0.12911473186656194,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,6,2031,True,,0.0032587700539341785,0.07426166286054428,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0011457470566575978,nan,nan,nan,nan
Figure 1,0.1,6,2031,True,,0.00870105976506748,0.014683497123293901,0.998015873015873,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9880952380952381,1.0
Figure 2,0.1,6,2031,True,,0.05728183283906997,0.05549651783041247,0.5401168879658669,nan,nan,nan,0.6604675518634677,nan,nan,nan,1.0,0.5,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,6,2031,True,,0.004192698437394033,0.04356981726146118,0.9992474001094691,1.0,nan,1.0,0.9969896004378763,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,6,2031,True,,0.015928662559315087,0.015026274440094838,0.9920634920634921,nan,nan,nan,0.9761904761904763,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,7,2032,True,,0.018712561018090365,0.1928314901102766,0.8988095238095237,1.0,1.0,0.6666666666666666,0.9285714285714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,7,2032,True,,0.002169130706737507,0.04943069028442978,0.9136904761904762,1.0,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,8.21717489003504e-05,nan,nan,nan,nan
Figure 1,0.1,7,2032,True,,0.008843140524809652,0.014923265896670831,0.8779761904761906,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9940476190476191,0.9404761904761905
Figure 2,0.1,7,2032,True,,0.058764970163149646,0.056933429899584206,0.6640769978794341,nan,nan,nan,0.6563079915177362,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,7,2032,True,,0.004809676868061899,0.04998135338309322,0.9153667214012041,1.0,nan,1.0,0.99480021893815,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,7,2032,True,,0.0165399276911226,0.015602910274522075,0.9781746031746031,nan,nan,nan,0.9345238095238095,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,8,2033,True,,0.011231588505703008,0.1157406485283535,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,8,2033,True,,0.0022616265151336793,0.0515385077816593,0.9136904761904762,1.0,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0003498943883120109,nan,nan,nan,nan
Figure 1,0.1,8,2033,True,,0.009709753454173957,0.016385720907773883,0.9930555555555555,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9940476190476191,0.9642857142857144
Figure 2,0.1,8,2033,True,,0.058505724732727325,0.05668226442636506,0.3668769492982807,nan,nan,nan,0.46750779719312274,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,8,2033,True,,0.004831034208608011,0.05020329527533273,0.9993158182813355,1.0,nan,1.0,0.997263273125342,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,8,2033,True,,0.01786645229945842,0.016854284816619877,0.9821428571428572,nan,nan,nan,0.9464285714285715,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
