analysis,noise_amplitude,perturbation_run,random_seed,success,error,rmse,relative_error,structure_score,sign_agreement,significance_agreement,top3_overlap,rank_score,edge_jaccard,group_order_agreement,highest_domain_retention,category_agreement,top2_overlap,bottom2_overlap,r_squared_change,regression_sign_agreement,regression_top3_overlap,variance_rank_agreement,regression_rank_agreement
Logistic Regression,0.25,9,2034,True,,0.04372117858537452,0.4505433546933949,0.9821428571428572,1.0,1.0,1.0,0.9285714285714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,9,2034,True,,0.008630680117308357,0.19667808606347947,0.7857142857142858,1.0,1.0,0.3333333333333333,0.8095238095238095,nan,nan,nan,nan,nan,nan,0.001132993685511563,nan,nan,nan,nan
Figure 1,0.25,9,2034,True,,0.02569836149221548,0.04336733998302634,0.7698412698412699,nan,nan,nan,nan,0.6666666666666666,0.875,nan,nan,nan,nan,nan,1.0,0.3333333333333333,0.9464285714285715,0.7976190476190477
Figure 2,0.25,9,2034,True,,0.14540135574010457,0.14086960090936698,0.330069085478229,nan,nan,nan,0.3202763419129161,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,9,2034,True,,0.009487643008505724,0.09859399102872443,0.9118089764641488,1.0,nan,1.0,0.9805692391899289,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,9,2034,True,,0.04741277159072849,0.044726750612918524,0.9345238095238096,nan,nan,nan,0.9285714285714286,nan,0.875,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,10,2035,True,,0.048543801825191135,0.5002401131795934,0.8333333333333333,0.75,1.0,0.6666666666666666,0.9166666666666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,10,2035,True,,0.005577888238131641,0.12711030510233534,0.9657738095238095,0.875,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0005413139554537594,nan,nan,nan,nan
Figure 1,0.25,10,2035,True,,0.03149190022473111,0.05314424206271518,0.9156746031746031,nan,nan,nan,nan,1.0,0.875,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9761904761904763,0.9761904761904763
Figure 2,0.25,10,2035,True,,0.1407565512729706,0.13636956204620299,0.70007660002205,nan,nan,nan,0.8003064000881999,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,10,2035,True,,0.01148767582000402,0.11937799574909963,0.8942939244663383,0.9285714285714286,nan,0.6666666666666666,0.9819376026272577,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,10,2035,True,,0.05377645180740117,0.050729916605584104,0.7579365079365079,nan,nan,nan,0.8988095238095238,nan,0.875,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,11,2036,True,,0.03728765166334837,0.384246358689505,0.8616071428571428,0.875,1.0,0.6666666666666666,0.9047619047619049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,11,2036,True,,0.005627177306297003,0.1282335166521615,0.8824404761904762,0.875,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0027101716678114007,nan,nan,nan,nan
Figure 1,0.25,11,2036,True,,0.025085501507139545,0.042333106444719576,0.8829365079365079,nan,nan,nan,nan,1.0,0.75,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9761904761904763,0.9047619047619049
Figure 2,0.25,11,2036,True,,0.14201073202190087,0.1375846534782651,0.3068012904580262,nan,nan,nan,0.22720516183210482,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,11,2036,True,,0.010228926953404532,0.10629728915530534,0.89272030651341,0.9285714285714286,nan,0.6666666666666666,0.9756431308155447,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,11,2036,True,,0.04966430959839069,0.04685073483880391,0.8908730158730158,nan,nan,nan,0.9226190476190477,nan,0.75,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,12,2037,True,,0.03349051458585808,0.3451171555784198,0.9255952380952381,0.75,1.0,1.0,0.9523809523809523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,12,2037,True,,0.00580598595217649,0.13230825256696538,0.9940476190476191,1.0,1.0,1.0,0.9761904761904763,nan,nan,nan,nan,nan,nan,0.001253903419676905,nan,nan,nan,nan
Figure 1,0.25,12,2037,True,,0.01962819168967038,0.03312360838708721,0.933531746031746,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9940476190476191,0.9404761904761905
Figure 2,0.25,12,2037,True,,0.14162864208766685,0.13721447222188643,0.6715355900404056,nan,nan,nan,0.6861423601616226,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,12,2037,True,,0.013880569876361527,0.14424454847601947,0.8864258347016968,0.9285714285714286,nan,0.6666666666666666,0.9504652435686919,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,12,2037,True,,0.029000729131383,0.02735778432547522,0.7896825396825397,nan,nan,nan,0.8690476190476191,nan,1.0,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,13,2038,True,,0.03142658262559144,0.3238484967882263,0.8675595238095237,0.875,1.0,0.6666666666666666,0.9285714285714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,13,2038,True,,0.005194039897799975,0.1183630736108478,0.9627976190476191,0.875,1.0,1.0,0.9761904761904763,nan,nan,nan,nan,nan,nan,0.002185746041569514,nan,nan,nan,nan
Figure 1,0.25,13,2038,True,,0.02156756630844735,0.03639640531121913,0.9940476190476191,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9880952380952381,0.9761904761904763
Figure 2,0.25,13,2038,True,,0.14224549824409602,0.1378121026919213,0.3645054215022941,nan,nan,nan,0.45802168600917637,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,13,2038,True,,0.012702812636364752,0.13200549324911484,0.9026751505199782,0.9642857142857143,nan,0.6666666666666666,0.9797482211275315,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,13,2038,True,,0.04033099986151948,0.03804617431663874,0.9841269841269842,nan,nan,nan,0.9523809523809524,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,14,2039,True,,0.02915166888758161,0.30040568714027455,0.8764880952380952,0.875,1.0,0.6666666666666666,0.9642857142857144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,14,2039,True,,0.005385078710057388,0.12271651360027312,0.8035714285714286,1.0,1.0,0.3333333333333333,0.880952380952381,nan,nan,nan,nan,nan,nan,0.0017404592519760786,nan,nan,nan,nan
Figure 1,0.25,14,2039,True,,0.017860608669237502,0.030140718842998668,0.865079365079365,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,1.0,0.8571428571428572
Figure 2,0.25,14,2039,True,,0.14413318246872206,0.1396409530627616,0.42859193942075685,nan,nan,nan,0.2143677576830274,nan,nan,nan,1.0,0.0,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,14,2039,True,,0.010278739425118972,0.10681493198661013,0.8288861521620142,1.0,nan,0.6666666666666666,0.9822112753147236,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,14,2039,True,,0.04077881264431871,0.03846861767916629,0.9702380952380952,nan,nan,nan,0.9107142857142857,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,15,2040,True,,0.03749580428202974,0.3863913552825358,0.8928571428571428,1.0,1.0,0.6666666666666666,0.9047619047619049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,15,2040,True,,0.0074675887997737505,0.17017327171043647,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428572,nan,nan,nan,nan,nan,nan,0.00013241509571959575,nan,nan,nan,nan
Figure 1,0.25,15,2040,True,,0.023699621338239333,0.03999436058815454,0.8769841269841271,nan,nan,nan,nan,1.0,0.75,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9642857142857144,0.880952380952381
Figure 2,0.25,15,2040,True,,0.13987458020920276,0.13551507956126202,0.3247581455835848,nan,nan,nan,0.29903258233433916,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,15,2040,True,,0.012272578508309028,0.12753457252373038,0.9943897099069513,1.0,nan,1.0,0.9775588396278051,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,15,2040,True,,0.0433051840259336,0.04085186546135669,0.9007936507936508,nan,nan,nan,0.9523809523809524,nan,0.75,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,16,2041,True,,0.056526046577912166,0.5824965263239024,0.875,1.0,1.0,0.6666666666666666,0.8333333333333335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,16,2041,True,,0.005799575079127921,0.1321621599967333,0.9077380952380952,1.0,1.0,0.6666666666666666,0.9642857142857144,nan,nan,nan,nan,nan,nan,6.62850191870401e-05,nan,nan,nan,nan
Figure 1,0.25,16,2041,True,,0.02161742394070822,0.03648054269443948,0.8640873015873014,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9821428571428572,0.8690476190476191
Figure 2,0.25,16,2041,True,,0.13541065980744932,0.131190287111526,0.43975262812996885,nan,nan,nan,0.2590105125198755,nan,nan,nan,1.0,0.0,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,16,2041,True,,0.008936871960099044,0.09287047089239482,0.8291598248494799,1.0,nan,0.6666666666666666,0.9833059660645868,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,16,2041,True,,0.043199086240490105,0.040751778311188015,0.9603174603174603,nan,nan,nan,0.880952380952381,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,17,2042,True,,0.037751945793955015,0.38903087369884987,0.8392857142857142,1.0,1.0,0.6666666666666666,0.6904761904761905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,17,2042,True,,0.00520368206205232,0.11858280164906551,0.8675595238095237,0.875,1.0,0.6666666666666666,0.9285714285714286,nan,nan,nan,nan,nan,nan,0.0007660700603574488,nan,nan,nan,nan
Figure 1,0.25,17,2042,True,,0.024265115207226486,0.04094866130814836,0.9176587301587302,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9821428571428572,0.8571428571428572
Figure 2,0.25,17,2042,True,,0.144463261310519,0.13996074426743013,0.37898744876320756,nan,nan,nan,0.5159497950528302,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,17,2042,True,,0.012933621222751818,0.1344040172740173,0.9904898741105638,1.0,nan,1.0,0.9619594964422551,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,17,2042,True,,0.04213257583121168,0.03974568768409619,0.9841269841269842,nan,nan,nan,0.9523809523809524,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,18,2043,True,,0.037495222625922836,0.3863853613614623,0.9821428571428572,1.0,1.0,1.0,0.9285714285714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,18,2043,True,,0.004528161043988189,0.10318886060123748,0.9880952380952381,1.0,1.0,1.0,0.9523809523809523,nan,nan,nan,nan,nan,nan,0.0002931323545344311,nan,nan,nan,nan
Figure 1,0.25,18,2043,True,,0.028136062463762084,0.04748108890207858,0.939484126984127,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9940476190476191,0.9761904761904763
Figure 2,0.25,18,2043,True,,0.14462850429998725,0.14012083709366943,0.34310040989433954,nan,nan,nan,0.37240163957735817,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,18,2043,True,,0.012303618073948147,0.12785713047130653,0.8185207991242474,0.9642857142857143,nan,0.6666666666666666,0.976464148877942,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,18,2043,True,,0.05879259612776354,0.055461887096402825,0.998015873015873,nan,nan,nan,0.9940476190476191,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,19,2044,True,,0.06194355038485815,0.6383234829206804,0.7142857142857143,1.0,1.0,0.3333333333333333,0.5238095238095238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,19,2044,True,,0.008170510153900834,0.18619161843442328,0.9047619047619047,1.0,1.0,0.6666666666666666,0.9523809523809523,nan,nan,nan,nan,nan,nan,0.00106442268096274,nan,nan,nan,nan
Figure 1,0.25,19,2044,True,,0.030119407287623808,0.050828087865652266,0.9216269841269842,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9702380952380952,0.8928571428571429
Figure 2,0.25,19,2044,True,,0.13847483807272434,0.13415896348422773,0.5956987703169814,nan,nan,nan,0.8827950812679254,nan,nan,nan,1.0,0.5,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,19,2044,True,,0.012081729333272817,0.12555129998338602,0.88646004378763,0.8928571428571429,nan,0.6666666666666666,0.9863163656267104,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,19,2044,True,,0.04005665905262442,0.03778737542067217,0.8134920634920636,nan,nan,nan,0.9404761904761905,nan,1.0,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,20,2045,True,,0.05107397244042832,0.5263133251519017,0.9047619047619048,0.75,1.0,1.0,0.8690476190476191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,20,2045,True,,0.00427493691128385,0.09741832605605193,0.9627976190476191,0.875,1.0,1.0,0.9761904761904763,nan,nan,nan,nan,nan,nan,0.0014547016584137706,nan,nan,nan,nan
Figure 1,0.25,20,2045,True,,0.02846489211112549,0.04803600626978809,0.9107142857142857,nan,nan,nan,nan,1.0,0.875,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9702380952380953,0.9523809523809523
Figure 2,0.25,20,2045,True,,0.1400049991182364,0.1356414336765527,0.6756806645964826,nan,nan,nan,0.7027226583859301,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,20,2045,True,,0.011106474197908734,0.11541661258203659,0.9026067323481116,0.9642857142857143,nan,0.6666666666666666,0.9794745484400657,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,20,2045,True,,0.05256209051027303,0.04958435111619492,0.7698412698412698,nan,nan,nan,0.9345238095238095,nan,0.875,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,21,2046,True,,0.028897744435175465,0.2977890153503695,0.8645833333333333,0.875,1.0,0.6666666666666666,0.9166666666666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,21,2046,True,,0.005146047231045005,0.11726940477894192,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0009237642776288579,nan,nan,nan,nan
Figure 1,0.25,21,2046,True,,0.030154580075256607,0.05088744379929358,0.8591269841269841,nan,nan,nan,nan,0.6666666666666666,0.875,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9821428571428572,0.9642857142857144
Figure 2,0.25,21,2046,True,,0.14213724888589382,0.13770722716437878,0.6337723872790566,nan,nan,nan,0.5350895491162265,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,21,2046,True,,0.008794864435985423,0.09139475257690616,0.9033593322386425,0.9642857142857143,nan,1.0,0.9824849480021893,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,21,2046,True,,0.05882415733262439,0.05549166030078412,0.9186507936507936,nan,nan,nan,0.880952380952381,nan,0.875,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,22,2047,True,,0.029977508889058348,0.3089159043106276,0.8363095238095237,0.75,1.0,0.6666666666666666,0.9285714285714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,22,2047,True,,0.006230394579327558,0.14197978196700684,0.8794642857142857,0.875,1.0,0.6666666666666666,0.9761904761904763,nan,nan,nan,nan,nan,nan,0.002730193232400424,nan,nan,nan,nan
Figure 1,0.25,22,2047,True,,0.016611970208252603,0.028033575604710186,0.9880952380952381,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9761904761904763,0.9523809523809523
Figure 2,0.25,22,2047,True,,0.13797300870899248,0.13367277474249503,0.6768368339216982,nan,nan,nan,0.7073473356867929,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,22,2047,True,,0.011535587953532007,0.1198758905854663,0.9927476737821566,1.0,nan,1.0,0.9709906951286262,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,22,2047,True,,0.04943012190329981,0.046629814308669956,0.7996031746031745,nan,nan,nan,0.8988095238095238,nan,1.0,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,23,2048,True,,0.03681069195820847,0.37933132591682517,0.8169642857142857,0.875,1.0,0.6666666666666666,0.7261904761904762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,23,2048,True,,0.005679226956593343,0.12941963703449708,0.8764880952380952,0.875,1.0,0.6666666666666666,0.9642857142857144,nan,nan,nan,nan,nan,nan,0.0007967300282994971,nan,nan,nan,nan
Figure 1,0.25,23,2048,True,,0.041839076630564,0.07060564781000501,0.9156746031746033,nan,nan,nan,nan,1.0,0.875,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9642857142857144,0.9880952380952381
Figure 2,0.25,23,2048,True,,0.14196284149203367,0.137538255562679,0.5192561062236161,nan,nan,nan,0.5770244248944645,nan,nan,nan,1.0,0.0,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,23,2048,True,,0.011666098685434842,0.12123213616920554,0.907088122605364,1.0,nan,0.6666666666666666,0.9616858237547893,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,23,2048,True,,0.06815426752275418,0.06429320253643331,0.7400793650793651,nan,nan,nan,0.8452380952380952,nan,0.875,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,24,2049,True,,0.03755072878520525,0.38695734802829945,0.9880952380952381,1.0,1.0,1.0,0.9523809523809523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,24,2049,True,,0.005693956403422411,0.12975529533392877,0.9047619047619047,1.0,1.0,0.6666666666666666,0.9523809523809523,nan,nan,nan,nan,nan,nan,9.461141493183334e-05,nan,nan,nan,nan
Figure 1,0.25,24,2049,True,,0.023583800533062943,0.039798906872682685,0.8601190476190474,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9702380952380952,0.8571428571428572
Figure 2,0.25,24,2049,True,,0.13854227264350577,0.13422429630746807,0.8488887293275473,nan,nan,nan,0.8955549173101895,nan,nan,nan,1.0,0.5,1.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,24,2049,True,,0.010336022236512019,0.10741020533189967,0.8940202517788725,0.9285714285714286,nan,1.0,0.9808429118773947,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,24,2049,True,,0.048521357088167856,0.04577253269680675,0.7936507936507936,nan,nan,nan,0.8809523809523809,nan,1.0,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,25,2050,True,,0.02368147245931427,0.2440357371671548,0.8898809523809523,1.0,1.0,0.6666666666666666,0.8928571428571429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,25,2050,True,,0.00483786815277736,0.11024654325995994,0.8065476190476191,1.0,1.0,0.3333333333333333,0.8928571428571429,nan,nan,nan,nan,nan,nan,0.00017377250217986973,nan,nan,nan,nan
Figure 1,0.25,25,2050,True,,0.02654650097399394,0.04479862007730225,0.8551587301587301,nan,nan,nan,nan,0.6666666666666666,0.875,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9821428571428572,0.9404761904761905
Figure 2,0.25,25,2050,True,,0.1452307673971705,0.14070432932942475,0.6651168879658669,nan,nan,nan,0.6604675518634677,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,25,2050,True,,0.012126846922739673,0.1260201543877038,0.803195128626163,0.8928571428571429,nan,0.6666666666666666,0.9865900383141761,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,25,2050,True,,0.043667982682404585,0.04119411090464676,0.9365079365079364,nan,nan,nan,0.9345238095238095,nan,0.875,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,26,2051,True,,0.044812580403458556,0.46179016578925464,0.8928571428571428,1.0,1.0,0.6666666666666666,0.9047619047619049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,26,2051,True,,0.009798410807941704,0.2232886236051,0.8779761904761905,1.0,1.0,0.6666666666666666,0.8452380952380953,nan,nan,nan,nan,nan,nan,0.0003417337866523651,nan,nan,nan,nan
Figure 1,0.25,26,2051,True,,0.018508728097035184,0.0312344545499783,0.8511904761904762,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9642857142857143,0.8095238095238095
Figure 2,0.25,26,2051,True,,0.14190222619439952,0.13747952947485634,0.45932802261528294,nan,nan,nan,0.3373120904611317,nan,nan,nan,1.0,0.0,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.25,26,2051,True,,0.010006109531297222,0.10398180796607882,0.8866652983032293,0.8928571428571429,nan,1.0,0.9871373836891079,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,26,2051,True,,0.04781773987395302,0.04510877669581192,0.8015873015873015,nan,nan,nan,0.9047619047619048,nan,1.0,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,27,2052,True,,0.034296741340333704,0.3534252597594568,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,27,2052,True,,0.0036742114610855145,0.08372884501994121,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0004796764568792966,nan,nan,nan,nan
Figure 1,0.25,27,2052,True,,0.028133475438731324,0.047476723160936395,0.8660714285714287,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9702380952380953,0.8928571428571429
Figure 2,0.25,27,2052,True,,0.14366180283698757,0.139184265019784,0.5487383042103159,nan,nan,nan,0.6949532168412637,nan,nan,nan,1.0,0.5,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,27,2052,True,,0.013866979248417679,0.14410331695535947,0.9016488779419815,0.9642857142857143,nan,1.0,0.9756431308155447,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,27,2052,True,,0.046854572531369994,0.04420017456003965,0.9702380952380952,nan,nan,nan,0.9107142857142858,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,28,2053,True,,0.04635689219659143,0.4777041790542907,0.8779761904761905,1.0,1.0,0.6666666666666666,0.8452380952380953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,28,2053,True,,0.00857205666155945,0.19534216016674746,0.9851190476190477,1.0,1.0,1.0,0.9404761904761905,nan,nan,nan,nan,nan,nan,0.00012428973587552683,nan,nan,nan,nan
Figure 1,0.25,28,2053,True,,0.029798804282040996,0.05028705338970321,0.9265873015873015,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9761904761904763,0.9166666666666667
Figure 2,0.25,28,2053,True,,0.141166902076449,0.13676712335933244,0.3383154713784905,nan,nan,nan,0.3532618855139619,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,28,2053,True,,0.011413729896849011,0.11860956214787541,0.8843390804597702,0.8928571428571429,nan,0.6666666666666666,0.9778325123152709,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,28,2053,True,,0.04444553035310794,0.041927609065382954,0.7916666666666666,nan,nan,nan,0.875,nan,1.0,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,29,2054,True,,0.02999113346874858,0.3090563045477332,0.9910714285714286,1.0,1.0,1.0,0.9642857142857144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,29,2054,True,,0.008445443658586606,0.1924568715502097,0.8645833333333333,0.875,1.0,0.6666666666666666,0.9166666666666667,nan,nan,nan,nan,nan,nan,0.0017570745410887545,nan,nan,nan,nan
Figure 1,0.25,29,2054,True,,0.028441743541751035,0.04799694183844344,0.8829365079365079,nan,nan,nan,nan,1.0,0.75,nan,nan,nan,nan,nan,1.0,0.6666666666666666,1.0,0.880952380952381
Figure 2,0.25,29,2054,True,,0.14504278392760708,0.14052220478044675,0.30206897089417284,nan,nan,nan,0.2082758835766914,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.25,29,2054,True,,0.014236508507295787,0.14794340288629265,0.9025383141762452,0.9642857142857143,nan,0.6666666666666666,0.9792008757525998,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.25,29,2054,True,,0.059796753553106,0.0564091571511276,0.8869047619047619,nan,nan,nan,0.9107142857142857,nan,0.75,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.25,30,2055,True,,0.037273956887546034,0.38410523508690797,0.8199404761904762,0.875,1.0,0.6666666666666666,0.7380952380952381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.25,30,2055,True,,0.006167634815470785,0.1405495968518857,0.8705357142857142,0.875,1.0,0.6666666666666666,0.9404761904761905,nan,nan,nan,nan,nan,nan,0.0032559770421906054,nan,nan,nan,nan
Figure 1,0.25,30,2055,True,,0.024953396012110062,0.04211017145649843,0.8501984126984127,nan,nan,nan,nan,0.6666666666666666,0.875,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9880952380952381,0.9047619047619049
